,Name,Type,Latitude,Longitude,Town
0,KA SHING COURT (ND130),Bus,22.492391,114.133564,Fanling
1,Green minibus stop (1110),Green Minibus,22.48319101723004,114.139384880824,Fanling
2,Green minibus stop (1096),Green Minibus,22.484537925792523,114.14587576856415,Fanling
3,Green minibus stop (849),Green Minibus,22.486677625316062,114.14333900167526,Fanling
4,Green minibus stop (848),Green Minibus,22.48826638601709,114.14060794544191,Fanling
5,Green minibus stop (847),Green Minibus,22.487065309288,114.14046249383834,Fanling
6,Green minibus stop (846),Green Minibus,22.48618036229069,114.1406084884275,Fanling
7,Green minibus stop (845),Green Minibus,22.486017464821053,114.13908287652092,Fanling
8,Green minibus stop (844),Green Minibus,22.487219257251223,114.14242541433396,Fanling
9,Green minibus stop (616),Green Minibus,22.499011468314094,114.13603747569417,Fanling
10,Green minibus stop (615),Green Minibus,22.495788479090123,114.139595291448,Fanling
11,Green minibus stop (613),Green Minibus,22.495942024974173,114.13972158741706,Fanling
12,Green minibus stop (612),Green Minibus,22.498930485905163,114.13720371282336,Fanling
13,Green minibus stop (609),Green Minibus,22.495391525768696,114.14129608234587,Fanling
14,Green minibus stop (608),Green Minibus,22.50050277997541,114.14152802173726,Fanling
15,Green minibus stop (607),Green Minibus,22.50088210522847,114.14175145281575,Fanling
16,Green minibus stop (604),Green Minibus,22.49667387622357,114.14145124734216,Fanling
17,Green minibus stop (603),Green Minibus,22.49822735805777,114.14262677810652,Fanling
18,Green minibus stop (602),Green Minibus,22.4929707398026,114.13850762644957,Fanling
19,Green minibus stop (601),Green Minibus,22.49247446779717,114.14022784811507,Fanling
20,Green minibus stop (600),Green Minibus,22.50028661420865,114.1442006751284,Fanling
21,Green minibus stop (599),Green Minibus,22.49155322222264,114.13959642504896,Fanling
22,FAN LENG LAU ROAD (ND565),Bus,22.500752,114.14017,Fanling
23,FANLING STATION BBI - FANLING STATION (C1) (ND496),Bus,22.491702,114.13936,Fanling
24,Green minibus stop (1122),Green Minibus,22.495274573914145,114.14336608667402,Fanling
25,Green minibus stop (1268),Green Minibus,22.482242987357186,114.14009449729672,Fanling
26,Green minibus stop (1269),Green Minibus,22.48407597702868,114.13929718606738,Fanling
27,Green minibus stop (1270),Green Minibus,22.48620702793,114.1387621457393,Fanling
28,Green minibus stop (2901),Green Minibus,22.501243915889635,114.14459891338312,Fanling
29,Green minibus stop (2225),Green Minibus,22.50231853811825,114.14462782032882,Fanling
30,Green minibus stop (2219),Green Minibus,22.5016416138675,114.1464550804664,Fanling
31,Green minibus stop (1691),Green Minibus,22.484537923925647,114.14586605112405,Fanling
32,Green minibus stop (1690),Green Minibus,22.482730235290006,114.13840355609024,Fanling
33,Green minibus stop (1674),Green Minibus,22.49304295521381,114.13839099015148,Fanling
34,Green minibus stop (1673),Green Minibus,22.49303396876283,114.13857563526383,Fanling
35,Green minibus stop (1672),Green Minibus,22.49831783528944,114.14345282007034,Fanling
36,Green minibus stop (1670),Green Minibus,22.500891141966594,114.14178060628274,Fanling
37,Green minibus stop (1618),Green Minibus,22.497505020837888,114.14307399965496,Fanling
38,Green minibus stop (1533),Green Minibus,22.497801904251897,114.1380981240514,Fanling
39,FAN LENG LAU TSUEN (ND291),Bus,22.49701,114.141249,Fanling
40,Green minibus stop (1532),Green Minibus,22.495626307499897,114.14125714950993,Fanling
41,Green minibus stop (1320),Green Minibus,22.48280271410002,114.13940441992568,Fanling
42,Green minibus stop (1319),Green Minibus,22.48513401250504,114.14629348771,Fanling
43,Green minibus stop (1318),Green Minibus,22.490958486056027,114.1455730856528,Fanling
44,Green minibus stop (1317),Green Minibus,22.497730611720943,114.14227703925918,Fanling
45,Green minibus stop (1316),Green Minibus,22.482396791606774,114.1413771390772,Fanling
46,Green minibus stop (1283),Green Minibus,22.49080358362856,114.13910101391666,Fanling
47,Green minibus stop (1282),Green Minibus,22.491172875468244,114.13522347045723,Fanling
48,Green minibus stop (1281),Green Minibus,22.49237347314029,114.13353218174318,Fanling
49,Green minibus stop (1273),Green Minibus,22.491957998787694,114.13325049027408,Fanling
50,Green minibus stop (1272),Green Minibus,22.490956130780845,114.13516522794588,Fanling
51,Green minibus stop (1271),Green Minibus,22.490559735433205,114.13898446571676,Fanling
52,Green minibus stop (1512),Green Minibus,22.48404994018432,114.1441364613558,Fanling
53,Green minibus stop (2902),Green Minibus,22.50045763015009,114.14153775175096,Fanling
54,FANLING STATION BBI - FANLING STATION (C1) (ND495),Bus,22.491849,114.139192,Fanling
55,SWALLOW GARDEN (ND180),Bus,22.495196,114.137227,Fanling
56,WO HING TSUEN (ND160),Bus,22.484599,114.144319,Fanling
57,Wah Sum Estate (ND139),Bus,22.485511,114.142649,Fanling
58,KING SHING COURT (ND136),Bus,22.487472,114.140579,Fanling
59,CHING KOK LIN ASSN.SCHOOL (ND385),Bus,22.487178,114.142431,Fanling
60,TONG HANG (ND247),Bus,22.490878,114.145976,Fanling
61,FANLING CENTRE (ND187),Bus,22.491181,114.142627,Fanling
62,FANLING STATION BBI - CHEUNG WAH ESTATE (A1),Bus,22.492466,114.140389,Fanling
63,FANLING FIRE STATION (ND555),Bus,22.494104,114.140097,Fanling
64,LOK WO STREET FANLING (ND552),Bus,22.497002,114.142831,Fanling
