,Unnamed: 0,name,latitude,longitude,rating,user_rating_count,reviews,photo_count,area,facilities,Town,description
0,0,Tin Shui Wai Sports Centre,22.454992,114.0065046,3.9,304,"Tin Shui Wai sports center, very good facilities run by LCSD; Large sport complex which is 2 light railway stations away from Tin Shui Wai West Railway Station and less than 10 minutes walk from Harbour Plaza Hotel.; Good place for doing many kind of sports, for example, table tennis, badminton, volleyball, squash. Moreover, there's a swimming pool next to it.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai Sports Centre is a large, air-conditioned sports complex in Tin Shui Wai, offering facilities like table tennis, badminton, volleyball, squash, and a nearby swimming pool. Managed by the LCSD, it’s praised for its well-maintained, spacious environment, ideal for various sports, and is conveniently located near Harbour Plaza Hotel, about 10 minutes from Tin Shui Wai West Railway Station."
1,1,Tin Shui Wai Sports Ground,22.4547902,114.0045247,4.1,769,"So grateful
This place is open for public
Feeling so thrilled
Never take things for granted
A moment of taking away the mask
Is so refreshing really
Fresh air
Windy weather
Bluwie sky
Love it; I suspect the kiosk's food made us diarrhea really badly the whole day. I regret I bought food there; Had my school Sports day here and the place is Very Big,we can pretend cheerleader with Pom Poms included and there was a place where I can access the Schoolbus Easily! It’s a good place for schools to give students a sport experience.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai Sports Ground is a spacious, open public venue in Tin Shui Wai, popular for school sports days and community activities. It features a large field for sports like football, with easy school bus access. Visitors appreciate the fresh air and windy environment but note occasional issues with kiosk food quality."
2,2,Tin Shui Sports Centre,22.454768,113.997978,3.9,253,"Quite a nice facility. Entirely air conditioned with a large seating area. Good for medium-size events. Facilities available and generally clean. Some vending machines, with a small shopping center next door. Parking next to the shopping center (not the sports center); Spacious, clean and fully air-conditioned.; For covid 19 test only, not for public for sport.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Sports Centre, located in Tin Shui Wai, is a fully air-conditioned facility with a large seating area, ideal for medium-sized events. It offers various sports facilities and is generally clean, with vending machines and a nearby shopping centre. Public feedback highlights its spaciousness and cleanliness, though it has been used for COVID-19 testing, limiting sports access at times."
3,3,Tin Fai Road Sports Centre,22.4648704,113.9967804,4.1,786,"A great place to play with my young children.; Its a nice place although i was there for my covid vaccine and not allowed to take photo in vaccination area.; The sport centre is small, specially the gym room. However, it is relatively clean compared to other one in TSW.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Fai Road Sports Centre in Tin Shui Wai is a compact, clean facility with a small gym room, popular for family activities. Visitors enjoy its suitability for young children and relative cleanliness compared to other local centres, though some note its small size. It has served as a COVID-19 vaccination site, adding to its community role."
4,4,Ping Shan Tin Shui Wai Sports Centre,22.4473228,114.0048672,4.2,418,"This is one of most modern and spacial library in Hong Kong. It is definitely worth visiting and even a great place to spend half a day reading. Conveniently located right next to the MTR station, Tin Shui Wai. In addition there is a separate student study room free to use and sports facilities in the same building. It's rare to see all-in-one place in Hong Kong. Highly recommended.; The sports ground is rather new than the other, and some facilities are located near it, such as Tin Shui Wei Park, gym room, and outside table tennis court. There is a large shopping mall not far away. General speaking, there is a good place.; Good sports stadium with integrated facilities like swimming pool and library.  Very convenient location as it is next to Tin Shui Wai MTR Station.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Ping Shan Tin Shui Wai Sports Centre is a modern, multi-purpose facility next to Tin Shui Wai MTR Station, featuring a spacious library, gym, swimming pool, and outdoor table tennis courts. Highly regarded for its convenience and integrated facilities, it’s described as a rare all-in-one destination in Hong Kong, with a nearby shopping mall enhancing its appeal."
5,5,"Children's Play Room, Ping Shan Tin Shui Wai Sports Centre",22.447392,114.004656,4.1,38,Small compared the one at Tsuen wan west thou much easier to look after children because it is smaller; A good place for kids to spend their time there.; Clean...staff are friendly.. good place for toddlers to play,3,Not available via Google Places API,No facility details,Tin Shui Wai,"The Children's Play Room at Ping Shan Tin Shui Wai Sports Centre is a clean, family-friendly space ideal for toddlers. Smaller than similar facilities elsewhere, it’s easier for parents to supervise children. Public reviews praise the friendly staff and clean environment, making it a great spot for kids to play."
6,6,Tin Shui Wai Park 5-a-side Hard-surfaced Football Court,22.4561566,114.0048896,3.7,9,"I want to go train football there but this place there is alwayspeople using it for ball games so this is worse,cant allow me to train; There are drinking fountains and changing rooms; Can",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Shui Wai Park’s 5-a-side Football Court offers a hard-surfaced pitch with drinking fountains and changing rooms. Popular for ball games, it’s often busy, which can limit training opportunities. The court is valued for its accessibility in Tin Shui Wai Park, though users note high demand as a drawback."
7,7,Tin Sau Road Park Football Pitch,22.46558,114.0022596,4.3,23,"A very lively football stadium, full of youthful energy!; Here is a nice seven-a-side football field. This field is very big. It can be used for primary or secondary schools near you to practice football. It is very convenient for them to practice. The next one is a nice seven-a-side football field. The football field is very big, like a giant. So I like the size and shape of it very much. Why am I finished talking about it? It is because the shape is very big, a square. Such a big square must be able to let them play football. It is very convenient. So I finally got a convenient one, 100%x100%x100%x100%x100%. How about it? It is really great. I really like this. There are several rugby fields and basketball courts. It is really convenient for them to practice here! So I hate those things here and here, and this place is so big, I like this place 100100, anyway, it's super fake!; The stadium is big enough
But there are only a few rows of metal benches in the auditorium
And there’s no cover, so it’s exposed to the sun and rain on sunny days.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Sau Road Park Football Pitch is a lively, spacious 7-a-side football field in Tin Shui Wai, ideal for school practices and community sports. It features additional rugby and basketball courts, making it a vibrant hub for youthful energy. Public reviews highlight its large size and convenience, though the lack of covered seating is a minor issue."
8,8,Tin Sau Rugby Pitch,22.4647064,114.0040969,4.0,117,"New rugby stadium serving Tin Shui Wai area, hope the next generation of Tin Shui Wai can get good use of it, and produce some world-class rugby player representing Hong Kong; Also being used as a football pitch... but defo too small... good turf thoh... easy to find just next to light rail stn but they shuld make a entrance there rather than we haf to walk all the around the other side... 😐; Central location . Mall next door . Easy public transport access. Standard HK artificial turf pitch",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Sau Rugby Pitch in Tin Shui Wai is a new, centrally located artificial turf pitch, also used for football, near a light rail station and mall. While slightly small for rugby, it’s praised for its quality turf and accessibility, with hopes it will nurture future athletes, though some suggest adding a direct entrance for convenience."
9,9,Tin Yip Road Park Artificial Sand Court,22.4642262,114.0063453,4.6,10,"Always staffed, facilities overall are clean and well-maintained. Most importantly, the sand is very fine. There are indoor and outdoor shower facilities with hot water and a change room.; Car park; It is really rare to have an artificial beach volleyball court in the urban area of ​​the New Territories! I hope that primary and secondary schools in the area can make good use of the activity facilities provided by the government.",3,Not available via Google Places API,No facility details,Tin Shui Wai,"Tin Yip Road Park Artificial Sand Court in Tin Shui Wai is a rare urban beach volleyball court with fine sand, indoor/outdoor showers, and a changing room. Well-maintained and staffed, it’s highly valued by schools and locals for its clean facilities and unique offering in the New Territories."
10,10,11-a-side Soccer Pitches (Artificial Turf Pitches) at Tin Yip Road Park,22.463010500000003,114.0074519,4.1,84,Very nice artificial grass 11 side football ground but bit far away from tinshuiwai mtr station.; Well maintained pitch with a spectator stand. quiet place and enjoyable place to play Rugby; Good facilities but there are too many mosquitoes,3,Not available via Google Places API,No facility details,Tin Shui Wai,"The 11-a-side Soccer Pitches at Tin Yip Road Park in Tin Shui Wai feature well-maintained artificial turf and a spectator stand, ideal for football and rugby. While praised for its quiet, enjoyable environment, its distance from the MTR station and mosquito presence are noted drawbacks."
