ADDRESS_ENGNM,ADDRESS_CHTNM,BLDG_ENGNM,BLDG_CHTNM,OS_STATUS,OS_STATUS_CHTNM,OS_TYPE,OS_TYPE_CHTNM,BEACH,BEACH_CHTNM,AMENITY_AREA,AMENITY_AREA_CHTNM,INDOOR_FACILITIES,INDOOR_FACILITIES_CHTNM,OS_AREA,OS_AREA_CHTNM,REMARK,REMARK_CHTNM,LAST_UPDATE,OBJECTID_1,GeometryLongitude,GeometryLatitude
Central & Western,中西區 / 中西区,Sai Wan Estate,西環邨 / 西环邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,1900,1900,-,-,03/2024,1,114.12520000000006,22.281000000000063
Eastern,東區 / 东区,Chai Wan Estate,柴灣邨 / 柴湾邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,4400,4400,-,-,03/2024,2,114.24200000000008,22.263600000000054
Eastern,東區 / 东区,Hing Man Estate,興民邨 / 兴民邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,7300,7300,-,-,03/2024,3,114.23260000000005,22.266500000000065
Eastern,東區 / 东区,Hing Tung Estate,興東邨 / 兴东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,10200,10200,-,-,03/2024,4,114.21930000000009,22.28150000000005
Eastern,東區 / 东区,Hong Tung Estate,康東邨 / 康东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,900,900,-,-,03/2024,5,114.22260000000006,22.284400000000062
Eastern,東區 / 东区,Hing Wah (I) Estate,興華(一)邨 / 兴华(一)邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,9700,9700,-,-,03/2024,6,114.23550000000012,22.262200000000064
Eastern,東區 / 东区,Hing Wah (II) Estate,興華(二)邨 / 兴华(二)邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,10300,10300,-,-,03/2024,7,114.23290000000009,22.263600000000054
Eastern,東區 / 东区,Lin Tsui Estate,連翠邨 / 连翠邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,700,700,The LOS area is the minimum area derived from the approved Planning Brief as at completion of the development.,鄰舍休憩用地面積節錄自發展項目竣工時的核准規劃大綱內的最少面積。 / 邻舍休憩用地面积节录自发展项目竣工时的核准规划大纲内的最少面积。,03/2024,8,114.23610000000008,22.26090000000005
Eastern,東區 / 东区,Model Housing Estate,模範邨 / 模范邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,2325,2325,-,-,03/2024,9,114.20820000000003,22.291000000000054
Eastern,東區 / 东区,Oi Tung Estate,愛東邨 / 爱东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,14600,14600,-,-,03/2024,10,114.2274000000001,22.281700000000058
Eastern,東區 / 东区,Siu Sai Wan Estate,小西灣邨 / 小西湾邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,65700,65700,-,-,03/2024,11,114.24850000000004,22.261300000000062
Eastern,東區 / 东区,Tsui Lok Estate,翠樂邨 / 翠乐邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,1300,1300,-,-,03/2024,12,114.24040000000002,22.26750000000004
Eastern,東區 / 东区,Wah Ha Estate,華廈邨 / 华厦邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,600,600,The LOS area is the minimum area derived from the Planning Permission approved under section 16 of the Town Planning Ordinance as at completion of the development.,鄰舍休憩用地面積節錄自發展項目竣工時根據《城巿規劃條例》第16條批准的規劃許可內的最少面積。 / 邻舍休憩用地面积节录自发展项目竣工时根据《城巿规划条例》第16条批准的规划许可内的最少面积。,03/2024,13,114.23650000000009,22.264800000000037
Eastern,東區 / 东区,Wan Tsui Estate,環翠邨 / 环翠邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,25600,25600,-,-,03/2024,14,114.2392000000001,22.262800000000027
Eastern,東區 / 东区,Yiu Tung Estate,耀東邨 / 耀东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,41800,41800,-,-,03/2024,15,114.22520000000009,22.27810000000005
Eastern,東區 / 东区,Yue Wan Estate,漁灣邨 / 渔湾邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,25200,25200,-,-,03/2024,16,114.24200000000008,22.26580000000007
Islands,離島 / 离岛,Cheung Kwai Estate,長貴邨 / 长贵邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,14300,14300,-,-,03/2024,17,114.02530000000002,22.213900000000024
Islands,離島 / 离岛,Fu Tung Estate,富東邨 / 富东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,31400,31400,-,-,03/2024,18,113.94150000000002,22.28690000000006
Islands,離島 / 离岛,Kam Peng Estate,金坪邨 / 金坪邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,6400,6400,-,-,03/2024,19,114.0372000000001,22.287100000000066
Islands,離島 / 离岛,"Lung Tin Estate, Tin Lee Court","龍田邨 / 龙田邨, 天利苑 / 天利苑",Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,17300,17300,1) The shared LOS area is based on the information as at completion of the development. 2) Tin Lee Court has been sold and becomes private property and her LOS area will not be further updated.,1) 共用鄰舍休憩用地面積為項目竣工時之資料。 / 共用邻舍休憩用地面积为项目竣工时之资料。2) 天利苑已出售成為私人物業而其鄰舍休憩用地面積並不再更新。 / 天利苑已出售成为私人物业而其邻舍休憩用地面积并不再更新。,03/2024,20,113.86580000000004,22.252800000000036
Islands,離島 / 离岛,Mun Tung Estate,滿東邨 / 满东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,11650,11650,The LOS area is the minimum area derived from the approved Planning Brief as at completion of the development.,鄰舍休憩用地面積節錄自發展項目竣工時的核准規劃大綱內的最少面積。 / 邻舍休憩用地面积节录自发展项目竣工时的核准规划大纲内的最少面积。,03/2024,21,113.9330000000001,22.27690000000007
Islands,離島 / 离岛,Nga Ning Court,雅寧苑 / 雅宁苑,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,10800,10800,-,-,03/2024,22,114.02730000000008,22.20360000000005
Islands,離島 / 离岛,Ngan Wan Estate,銀灣邨 / 银湾邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,6100,6100,-,-,03/2024,23,113.99680000000001,22.265100000000075
Islands,離島 / 离岛,"Yat Tung (I) Estate, Yat Tung (II) Estate","逸東(一), (二)邨 / 逸东(一), (二)邨",Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,66700,66700,-,-,03/2024,24,113.93625300000008,22.281471000000067
Islands,離島 / 离岛,Ying Tung Estate,迎東邨 / 迎东邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,9860,9860,The LOS area is the minimum area derived from the approved Planning Brief as at completion of the development.,鄰舍休憩用地面積節錄自發展項目竣工時的核准規劃大綱內的最少面積。 / 邻舍休憩用地面积节录自发展项目竣工时的核准规划大纲内的最少面积。,03/2024,25,113.95240000000001,22.29630000000003
Kowloon City,九龍城 / 九龙城,"Ho Man Tin Estate, Kwun Fai Court, Kwun Hei Court","何文田邨 / 何文田邨, 冠暉苑 / 冠晖苑, 冠熹苑 / 冠熹苑",Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,20600,20600,1) The shared LOS area is based on the information as at completion of the development. 2) Kwun Fai Court and Kwun Hei Court have been sold and become private properties and their LOS areas will not be further updated.,1) 共用鄰舍休憩用地面積為項目竣工時之資料。 / 共用邻舍休憩用地面积为项目竣工时之资料。2) 冠暉苑及冠熹苑已出售成為私人物業而其鄰舍休憩用地面積並不再更新。 / 冠晖苑及冠熹苑已出售成为私人物业而其邻舍休憩用地面积并不再更新。,03/2024,26,114.18110000000001,22.318300000000022
Kowloon City,九龍城 / 九龙城,Hung Hom Estate,紅磡邨 / 红磡邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,7300,7300,"The LOS area is determined based on the approved Planning Brief as at completion of the development, as well as the survey record kept by the Hong Kong Housing Authority.",鄰舍休憩用地面積乃根據發展項目竣工時的核准規劃大綱，以及房委會備存的測量記錄綜合而定。 / 邻舍休憩用地面积乃根据发展项目竣工时的核准规划大纲，以及房委会备存的测量记录综合而定。,03/2024,27,114.18910000000005,22.30740000000003
Kowloon City,九龍城 / 九龙城,Kai Ching Estate,啟晴邨 / 启晴邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,13000,13000,The LOS area is the minimum area derived from the approved Planning Brief as at completion of the development.,鄰舍休憩用地面積節錄自發展項目竣工時的核准規劃大綱內的最少面積。 / 邻舍休憩用地面积节录自发展项目竣工时的核准规划大纲内的最少面积。,03/2024,28,114.20290000000011,22.33250000000004
Kowloon City,九龍城 / 九龙城,Ma Tau Wai Estate,馬頭圍邨 / 马头围邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,10700,10700,-,-,03/2024,29,114.18660000000011,22.323900000000037
Kowloon City,九龍城 / 九龙城,Oi Man Estate,愛民邨 / 爱民邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,37700,37700,-,-,03/2024,30,114.17880000000002,22.313100000000077
Kowloon City,九龍城 / 九龙城,Sheung Lok Estate,常樂邨 / 常乐邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,710,710,-,-,03/2024,31,114.18130000000008,22.320100000000025
Kowloon City,九龍城 / 九龙城,Tak Long Estate,德朗邨 / 德朗邨,Exist,現存 / 现存,Ancillary,附屬休憩用地 / 附属休憩用地,No,否 / 否,No,否 / 否,No,否 / 否,20540,20540,The LOS area is the minimum area derived from the approved Planning Brief as at completion of the development.,鄰舍休憩用地面積節錄自發展項目竣工時的核准規劃大綱內的最少面積。 / 邻舍休憩用地面积节录自发展项目竣工时的核准规划大纲内的最少面积。,03/2024,32,114.20310000000006,22.330100000000073
