OBJECTID,DATASET_EN,DATASET_TC,NameEN,AddressEN,NameTC,AddressTC,DistrictEN,DistrictTC,FacilityTypeEN,FacilityTypeTC,FacilityDetailsEN,FacilityDetailsTC,OpeningHoursEN,OpeningHoursTC,TelephoneEN,TelephoneTC,FaxNumberEN,FaxNumberTC,EmailAddressEN,EmailAddressTC,WebsiteEN,WebsiteTC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,GeometryLongitude,GeometryLatitude
1,"Parks, Zoos and Gardens",公園及動植物公園,Tsuen Wan Park,"59 Wing Shun Street, Tsuen Wan",荃灣公園,荃灣永順街59號,TSUEN WAN,荃灣,"CYCLING TRACKS/GROUNDS,DOG GARDENS/PET GARDENS,GATEBALL COURTS,JOGGING TRACKS/FITNESS TRAILS,PARK,TENNIS COURTS","單車徑/場,狗公園/寵物公園,門球場,緩跑徑/健身徑,公園,網球場",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.lcsd.gov.hk/en/ls_park.php,http://www.lcsd.gov.hk/b5/ls_park.php,825329,829671,22.36711399,114.1128223,2025-05-19T14:19:20,829671,825329,114.1128223,22.36711399
2,"Parks, Zoos and Gardens",公園及動植物公園,North District Park,"Jockey Club Road, Sheung Shui",北區公園,上水馬會道,NORTH,北區,"AMPHITHEATRE,BASKETBALL COURTS,HANDBALL COURTS,HARD-SURFACE PITCHES,JOGGING TRACKS/FITNESS TRAILS,PARK,VOLLEYBALL COURTS","露天劇場,籃球場,手球場,硬地球場,緩跑徑/健身徑,公園,排球場",7-a-side soccer pitch,7人足球場,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.lcsd.gov.hk/en/ls_park.php,http://www.lcsd.gov.hk/b5/ls_park.php,839924.2000000001,831867.8,22.49892247,114.1341113,2025-05-19T12:23:01,831867.7999999998,839924.1999999993,114.1341113,22.49892247
3,"Parks, Zoos and Gardens",公園及動植物公園,Tsing Yi Northeast Park,"10, Tam Kon Shan Road, Tsing Yi",青衣東北公園,青衣?杆山路10號,KWAI TSING,葵青,"AMPHITHEATRE,BASKETBALL COURTS,CYCLING TRACKS/GROUNDS,GATEBALL COURTS,GRASS PITCHES,JOGGING TRACKS/FITNESS TRAILS,SKATEBOARD GROUNDS,VOLLEYBALL COURTS","露天劇場,籃球場,單車徑/場,門球場,草地球場,緩跑徑/健身徑,滑板場,排球場","11-A-SIDE ARTIFICIAL TURF SOCCER PITCH, 2 BASKETBALL-CUM-VOLLEYBALL COURTS, GATEBALL COURT, CYCLING TRACK, CYCLING TRACK FOR CHILDREN ,SKATEBOARD ARENA, CHILDREN’S PLAY AREAS, WALKING TILE, PIAZZA, WATERFRONT PROMENADE, JOGGING TRAIL WITH FITNESS STATIONS, FITNESS CORNER FOR ELDERLY, LANDSCAPED AREA, BIKE KIOSK, AND A FEE PAYING PUBLIC CAR PARK WITH 33 CAR PARKING SPACES.",十一人人造草地足球場、2個籃球場暨排球場、門球場、單車徑、兒童單車徑、滑板場、兒童遊樂場、足健徑、露天廣場、海濱長廊、設有健體站的緩跑徑、長者健體園地、園景區、單車租用亭 及一個設有三十三個車位的公眾收費停車場。,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,824803.3,828227.8,22.36236049,114.0988126,2025-05-19T12:14:06,828227.7999999998,824803.3000000007,114.0988126,22.36236049
4,"Parks, Zoos and Gardens",公園及動植物公園,Shek Kip Mei Park,"270 Nam Cheong Street, Sham Shui Po",石硤尾公園,深水?南昌街270號,SHAM SHUI PO,深水?,"AMPHITHEATRE,BASKETBALL COURTS,GRASS PITCHES,HARD-SURFACE PITCHES,JOGGING TRACKS/FITNESS TRAILS,PARK,RUGBY PITCHES,TENNIS COURTS","露天劇場,籃球場,草地球場,硬地球場,緩跑徑/健身徑,公園,欖球場,網球場","11-a-side turf soccer pitch/rugby pitch, 7-a-side soccer pitch","11人草地足球場/欖球場, 7人足球場",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.lcsd.gov.hk/en/ls_park.php,http://www.lcsd.gov.hk/b5/ls_park.php,822169,835661,22.33858998,114.170982,2025-05-16T18:01:33,835661,822169,114.170982,22.33858998
5,"Parks, Zoos and Gardens",公園及動植物公園,The park located east of Fan Kam Road,"No. 650 Fan Kam Road, Sheung Shui",粉錦公路以東的公園,上水粉錦公路650號,NORTH,北區,"INCLUSIVE PARK FOR PETS,WALKING TRAIL,5-A-SIDE HARD SURFACE PITCHES","寵物共享公園,步行徑,5人硬地足球場","Inclusive Park for Pets, Walking Trail, 2 nos. of 5-a-side hard-surface Soccer Pitches",寵物共享公園、步行徑、2個五人硬地足球場,The Inclusive Park for Pets is open daily from 9:00 am. to 6:00 pm. The walking trail is open daily from 9:00 am. to 9:00 pm. The two 5-a-side soccer pitches are open daily from 9:00 am. to 6:00 pm.,寵物共享公園開放時間為早上9時至下午6時，步行徑開放時間為早上9時至晚上9時。兩個五人足球場開放時間為早上9時至下午6時,2295 3118,2295 3118,,,fkrp@lcsd.gov.hk,fkrp@lcsd.gov.hk,https://www.lcsd.gov.hk/en/parks/fkrp/index.html,https://www.lcsd.gov.hk/tc/parks/fkrp/index.html,839493.10005543,830631.61515815,22.49502554,114.122099,2025-01-15T14:42:58,830631.6151999999,839493.1000999995,114.122099,22.49502554
6,"Parks, Zoos and Gardens",公園及動植物公園,Tseung Kwan O Waterfront Park,"Tong Yin Street, Tseung Kwan O, Sai Kung",將軍澳海濱公園,西貢將軍澳唐賢街,SAI KUNG,西貢,DOG GARDENS/PET GARDENS,狗公園/寵物公園,"Dog Excreta Collection Bin, Pet Latrine, <br/>Hand-washing Facility and Turf area for pet. Arbours with benches",狗糞收集箱、寵物廁所、洗手設備和草坪(寵物活動區)，蔭棚連坐椅,24 hours daily,每日24小時開放,2791 3100,2791 3100,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818105.30275373,844740.975,22.30187134,114.2591025,2024-11-06T14:26:16,844740.9749999996,818105.3027999997,114.2591025,22.30187134
7,"Parks, Zoos and Gardens",公園及動植物公園,Hoi Fai Road Promenade,"Hoi Fai Road, Tai Kok Tsui",海輝道海濱花園,大角咀海輝道,YAU TSIM MONG,油尖旺,PROMENADE,海濱花園,,,,,,,,,,,,,819775.28065094,834352.72727328,22.31697205,114.1582851,2024-10-28T12:34:45,834352.7273000004,819775.2807,114.1582851,22.31697205
8,"Parks, Zoos and Gardens",公園及動植物公園,Tin Tsz Garden,"Tin Tsz Road, Tin Shui Wai, Yuen Long",天慈花園,元朗天水圍天慈路,YUEN LONG,元朗,INCLUSIVE PARK FOR PETS,寵物共享公園,Dog excreta collection bin,狗糞收集箱,24 HOURS DAILY,每日24小時開放,2443 0513 / 2476 7350,2443 0513 / 2476 7350,,,,,,,834742.21823686,818939.99502058,22.4520446,114.00853,2024-10-14T16:21:01,818939.9950000001,834742.2182,114.00853,22.4520446
9,"Parks, Zoos and Gardens",公園及動植物公園,Pui To Road (South) Rest Garden,"Tin Hau Road, Tuen Mun",杯渡路(南)休憩花園,屯門天后路,TUEN MUN,屯門,INCLUSIVE PARK FOR PETS,寵物共享公園,"Water dispenser, Toilets (with accessible toilets), Dog excreta collection bin",飲水設施、洗手間(設有暢通易達洗手間)、狗糞收集箱,24 HOURS DAILY,每日24小時開放,2451 3110,2451 3110,,,,,,,828149.69703025,815145.25020718,22.3924687,113.971751,2024-09-10T12:20:43,815145.2501999997,828149.6970000006,113.971751,22.3924687
10,"Parks, Zoos and Gardens",公園及動植物公園,Wu King Road Garden,"Wu King Road, Tuen Mun",湖景路花園,屯門湖景路,TUEN MUN,屯門,PARK,公園,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,826266.96414371,814594.43052954,22.37545989,113.9664276,2024-09-10T12:20:15,814594.4304999998,826266.9640999995,113.9664276,22.37545989
